text,cefr,l1,corpus,item_id
"yesterday we had a meeting with the board to decide the next step to improve the performance of the employers in the company. First, the head of the department gave us the agenda. The head suggested to a merger with the two groups of the employers. We agreed with him because the company hadn't done a very job in the last months. We agreed that we need to move quickly to take this decision. finally, the head decided to make more meeting to try to listen the problems from the employers.",B2,Portuguese,EFCAMDAT,643477
"Hi Anna, I found an incredible amazing job that I am sure is what are you looking for. Let me try to explain I think you should consider. The job is by far well payed, so I urge you to consider it. The salary is 50,000/year. It consist in preparing food for the animals and feed them, so it is so exhilarating for you that I encourage you not to miss it. In addition you will have enough days of vacations so you can travel - your favorite hobby - in addition you will have chance to visit the wild crocodiles in Florida which will result totally amazing to you. So I urge you to take it.regards,Manuel.",B2,Spanish,EFCAMDAT,692512
"Sales figure for best books company: - National sales figure: Between 2004 and 2005 there's a sharp increase in the sales, reaching almost 1 million sales. Between 2005 and 2006 sales figures keeper steady at 1 million. Between 2006 and 2007 sales increased sharply to almost 3 million, but just after that it decreased dramatically to around 1.5 million. - International sales figure: In 2004 until the middle of the year, sales increased dramatically, followed by another sharp increase in 2005 reaching more than 2 million sales. In the middle of 2005 sales figures dropped considerably staying at around 1 million and it kept around the 1 million mark until 2007, where it dropped a bit more to around 0.5 million and stayed there in 2008 as well.",B2,Portuguese,EFCAMDAT,715783
International Sales figures: International book sales fluctuated between 2004 to 2008. 2004 to 2005: a dramatic rise to a figure of 2 million. 2005 book sales fell sharply to about 1 million. In 2007 there was a sharp decrease in sales of about half a million. Sales have levelled off at this figure. National Sales figures: The trend is one of fluctuation. 2004 to 2005 book sales rose sharply to 1 million. 2005 to 2006 sales levelled off at 1 million. 2006 to 2007 sales increased to around 3 million.,B2,Portuguese,EFCAMDAT,740246
"definitely, I can't complain about my life. I would be such an ungrateful because God has blessed my live intensively. For sure, I have a really good life. I have worked for over 15 years, in top positions, for global and well-known companies, such as IBM, Gartner, General motors, International Papers, HP and SAP. So, I worked in 12 countries and got too many things in my life. For the financial side, I have no problems at all. I live very well with my family and get along with my life and kids. But, as time has gone by, certainly I am getting older. And I will be 53 years old next month. consequently, I have got some worries thar have let me desperate and deeply concerned, especially those ones related to my employment situation for a near future. I must find a plan B for my life, in order to rise an other source of earnings. But what? I am an IT professional and there millions of IT professionals working as free-lances, independent contractors, etc... I don't want to be another one. My strongest fear is to be unplayed for the rest of life. I really need to find my career transition indeed.%%",B2,Portuguese,EFCAMDAT,802716
"This article aims at people who need help in transferring to a more gratifying job. The author provides the reader with a two-step strategy enabling him to achieve his dream job. The theory developed in the excerpt is based on statistics and scientific research to demonstrate that people's work discontentment finds an answer in the wrong former motivations of their first job choice. according to the author, the combination of personality traits and life interests would be the magic formula to find the ideal profession. The question is: Can magic really work in the real life? Although this theory sounds like a promise of happiness in this world of complaints and disillusions, I think the most difficult part will be to find ""the job"" which match the best the two factors. I can't help but feel that despite its uplifting outcome, the solution offered by the article isn't realistically conceivable.%%",B2,French,EFCAMDAT,826055
"I've been working at hotel over 20 years. As a hotel manager, I have a certain amount of stress from work. I don't have social life because I work more than 10 hours everyday. Now I've left from my family, and live at hotel alone, so I feel lonely very much. I think that something is missing in my life even I don't live from paycheck to paycheck. I am active and have no financial pressure. Although I can not live together with my family, I spend time with my family in my annual leave.During my holiday, I go to travel around the world with my parents and my son. It gives us many good experiences and memories. I know life is not easy, but I still hope that I can keep a balance between my work to my life. overall, I like my lifestyle, I've got everything I want to buy.",B2,Mandarin,EFCAMDAT,849600
"Hi Anna, I have made a research and I think I found the perfect job for you. You'll work at the Flossington too as a zookeeper. In this job you'll be able to work with the most amazing animals in the world, and you'll feed then in a daily basis. Besides this, you'll travel regularly to Florida, to see wild crocodiles in their natural habitat. I urge you to really consider this job, because it will be absolutely exhilarating for you to be in touch with this animals everyday. See you soon. Best regards, Fabiano",B2,Portuguese,EFCAMDAT,867172
"The advancement of technology is unstoppable. It has changed my all life. I am an enthusiastic fan who is on technology. First of all, I like to buy new product. I have bought every generation pad, that from the first generation to the newest, and there are many e-waste in my house, especially charger, so many kinds of it. Then I have to work 7*24, every day and every night. My boss assigned work every time. May be you were dreaming. And then, we build more computers to hold information, to produce more copies, but have less remember, and communication occurs less in face-to-face. You can see everybody and I that were looking on the smartphone without talking anybody, even our lover or coworker. finally, I am totally dependent on smartphone., we'd be lost without it. We are completely engrossed in our smartphone. We are in a difficult position. I like each other, but I need smartphone. Someone told me he could have without wife but wife. In a word, technology is a double-edged sword. It has advantages and disadvantages.",B2,Mandarin,EFCAMDAT,999915
"I would like to write some words about a ballet. The ballet is a performing art that is unique to my city. I live in St Petersburg. It is an old city founded in 1703. St Petersburg has got a very old ballet history. The casanova wallet Academy was founded in 1737. It became first Russia's educational establishment providing professional ballet training. Over the years, The wallet Academy has graduated a lot of legendary dancer and choreographers including Anna Pavlova, Rudolf Nureyev, George Balanchine, Mikhail Baryshnikov. There are three significant ballet theaters in St Petersburg: Mariinskiy theater, Mikhailovskiy theater and Aleksandrovsk theater. All of that theaters have got old traditions and rich history. I have to notice that I don't like a ballet as an art. However, I visit some ballet performances in my city per year because it's history of my city and I am proud it.",B2,Russian,EFCAMDAT,1174002
"Some important issues were discussed in the meeting I was listening some minutes ago . The merge with another company is always packed with a lot of problems. Two difficult cultured should be broad together in a smart way. The team inclusive the teamleader working together very well and they are supporting each other. It's also known, that from the board of directors decisions will be made that are not so easy to understand for the concerned team. But finally they have to follow the decision which was made and the have to overcome with some ideas to solve all the problems quickly. finally the team will persevere to ie within the scheduled time at the end.",B2,German,EFCAMDAT,1201019
"physiological: I don't have anything to complain about this category. I always have good food, drink and a place to rest my body after a hard working day. safety and security: I live in a small city. Here, everybody knows each other and the crime rate is very low. I and my family feel safe to live here. Love and affection: I'm married, I love my wife and I feel loved indeed. I also have a son, he's the most precious thing I possess. When he smiles at me, I feel strong and renewed to start another hard working and studying day. esteem: I always study hard and I like to be the guy, it doesn't matter what I do and where I am. It's very pleasant to me when a person makes me a compliment, it fulfills my ego and self-esteem. It's important to feel like that. Self-actualization: Having all the topics above fulfilled, I can say that I'm a actualized person. I always do things to keep this self-actualization. People only can be happy if they feel self-actualized.",C1,Portuguese,EFCAMDAT,32481
"Dear Sir, I have some ideas about a new advertising campaign for your products. The three pictures could express the Century's image of classic. A beautiful woman with a flower or men who is playing golf could personalize the identity of your enterprise. I think the second picture will be the best choice. In fact on this picture we see a star under the light. All the people around the star have only eyes for her. We could be affirmative that they are all fan of this woman. The woman isn't disturb by these attitudes. She controls the situation. An other thing is the timeless aspect of this picture as this should always existed. A star is in our collective imagination. With this picture and the slogan ""Your glamour;your Century"" on a TV and billboards campaign we can give these positive images of your business. I hope see you again. Best regards Bob Sinclair",C1,French,EFCAMDAT,214231
"Good days everyone! I 'm Okun ivy and I have been nominated for president of student council. I have studied in this university for two years. Everything gets worse day to day. It is not possible to become a successful student in this condition. Forexample there is no ring service. You must walk to your class minimum 45 min if you has not your car.The food and coffee price are too expensive. Also the food conditions are very bad. If you elect me I promise to solve this problems in a one-year period. I will arrange free ring service in every 15 minutes. You can go to your class in the comfortable bus. With your help,I will increase the food quality. In addition I will organize a free friday night part. I ask you to consider your choice wisely. I want to work for you. I hope I can count on you. I know we will change the everything together. For the future of our school, please give your votes to Okun. Thank you very much participating my meeting.",C1,Turkish,EFCAMDAT,273573
"Our recent research indicates that on the one hand our key consumers should be the second demographic group because 18 to 24-year-old men are 18% more than 15 to 19-year-old women, but on the other hand the number of the male population will dramatically drop until 2025, whereas the number of female population will rise sharply and will have reached 30 million by 2025. Our marketing department should project a new magazine supported by extensive website content because both men and women prefer such magazines with advanced technologies. futhermore, the purchasing power of men is 89 billion more than women's, but it will rise insignificantly (from $242 to $244 billion), in comparison, the women's purchasing power will jump up extremely (from $153 to $175 billion). As for the competitive products, we should take into account that there are 6 women's magazines that already exist, in contrast, there are 1 long term and 2 recent products for men. To sum up, we should estimate all advantages and disadvantages and investigate the economic situation in both groups properly to come to the right decision.",C1,Russian,EFCAMDAT,469073
"title: riding Genie: actual drama Setting: Fukushima nuclear plant and TECO, Tokyo Characters: Ken Watanabe (Manager of Fukushima nuclear Power plant), Kuki (Ken's wife), Sun Ori (stuff of the Power plant), Baku wada (President) storyline: After mega earthquake and tsunami attacked East-Japan, Fukushima nuclear power plant was damaged fatally. The manager of plant, Watanabe tried to stop the meltdown and fight with the head quarter, scholars those who care about only reputation and even the prime minister of Japan. After many struggles, they understand that the only way left is someone enter the factor core and open the bulb by hands in the middle of radioactivity. He organizes 'Old boy team' (60 years old or more) as a death-defying corps. They and their families episodes are also described in detail. Executive producer: Shinichiro Kadoka Director: Takeshi titano Other stuff: screen writer, illustrator for storyboard, location director We need very good gaffer because the tsunami and factory scene is important. Also we will hire the stunt performer for the reproducibility scene.",C1,Japanese,EFCAMDAT,481808
"Welcome to your new home ! Would you like to wake up every morning with an amazing review and smelling fresh sea air ? Would you like to look at the most beautiful sunset you have ever seen from your own living roon ? Well, this three bedrooms apartment located in the affluent neighbourhood of Pacific Heights will definitely knock your socks off ! You will truly enjoyed the two bathrooms and the remodeled modern kitchen and you won't believe how spacious and cause the living room is. Moreover, features such as rustic porch, original wood staircase and trim throughout the house are one of a kind. The rent is $1.850 per month, it's a steal ! This apartment is a once in a lifetime opportunity so do not hesitate to contact me if you want to visit it.",C1,French,EFCAMDAT,545128
"Green business is very important to the world. Whenever possible, I look for environmentally friendly product but, unfortunately, there are very few available and in most cases more expensive than others. I think that even truly green companies take advantage to profit more. In Brazil, some kinds if products are environmentally friendly: all dish detergent, all washing powder (theyre biodegradable), all toilet paper, all towel paper (theyre made from reforested wood) and its not more expensive. On the other hand, other products is very expensive like: organics vegetables, biodegradable bags, solar panels, ecological leather... sometimes, I think companies explore our concern about the environment, because I dont understand why the most of these products are so expensive. I guess to encourage consumption, theyre should be the same price than others. I dont believe that companies spend much more to do this environmentally friendly products. Im very sad about this situation. Is still far from a true raise awareness of all companies to the problem of the environment.",C1,Portuguese,EFCAMDAT,546700
"Learning another language is not an easy process - different word order, irregular verbs, those tricky prepositions and difficult to pronounce, strange looking vocabulary. There are also many methods on offer to accomplish this feat - so many in fact, that it can become confusing and hard to decide which is the best way for you. courses on cassette, evening classes, private lessons, a language school, move to the country of the target language (an extreme method, perhaps), a correspondence course or a pen friend - the list is endless and it is like a jungle trying to decide what to try.",C1,Portuguese,EFCAMDAT,569339
"Good evening,thanks for inviting me to be here,my name is Ethan and I'm Danielandamp;Anna's friend in our club when we were studying in college,I remember that their first meet was at a dancing party,Daniel had got some nervous to invite Anna to dance with him,at that moment I pushed Daniel to walk forward to her again and again, I think what I did was the rightest thing in the whole universe because Anna has told me that she was waiting Daniel to invite her for dancing ,after that , they began to date and were attracted to each other, Daniel was a gentle man,he takes Anna very well no matter she is sick or she is busy for preparing the test,he is a man with sense of responsibility,I know it's fate that brings them together and wish them live a happiness life forever. Let's raise our glasses and make a toast!",C1,Mandarin,EFCAMDAT,577473
"In my country there isn't a big concern about green products, like there is in developed countries as USA, France, England and so on. actually, here, the major concerns are about organic food and furniture made with wood. About the wood, there is a severe control by authorities to avoid using of wood from natural forests. About food, there are green products here, as well, they use a lot the word ""organic"" but I have serious doubts about how much organic it's. nowadays, be green or organic became a kind of selling argument due the world scenario of pollution and the search for health improvement. Well, I won't go out of my way to buy green products, I don't bought the idea that is really necessary. In my opinion, the most important for health is do physical exercise everyday, at least half an hour, and eat only enough. For sure, the diet need be balanced with vegetables, proteins and cereals, avoiding white sugar and candies. Another important point is drinking a lot of water, in order to keep migratation. therefore, in my opinion, quality of food is important, but the way of production isn't.%%",C1,Portuguese,EFCAMDAT,595671
"First of all, both groups purchase magazines on a regular basis. furthermore, they both have strong purchasing power. When comparing the two groups, both prefer magazines to websites, with men slighty more than women. Also, men buy almost 20% more magazines per month than women. On the one hand, the size demographic group 2 will fall sharply by 2025. On the other hand, their purchasing power will rise steadily. In comparison, there will be an increasing purchasing in group 1. However, the two groups will maintain their purchasing power for hight. As you can see, developing a new magazine for either demographic group should be profitable. In the end, the purchasing power for both groups will rise by 2025 and the creation of new magazines will be a success.",C1,Portuguese,EFCAMDAT,619037
"Hey Bobby, I was really worried about your email. You are young and have a lifetime ahead and losing it all being arrested. sometimes it's very difficult to find a job, not only for you. Also sometimes it's very hard to study but all this is worth it. However, it seems that you are playing with fire when you think to continue that way of evil. These guys that you met in juvenile detention are not good guys. If not, they wouldn't be asking you to do this kind of thing. Indeed, the good guys aren't in prison. You should know that where are the good friends, the bad friends are not; where are the bad friends , the good friends are not because they don't mix. You think about having everything easy and forget that the challenges are opportunities for growth and discovery our potential. I ask that you think twice before making anything and that you wish a better life for you and be free. I'm on your side. eye, clara",C1,Portuguese,EFCAMDAT,619044
"It's a challenge to define 'green business'. To my opinion, 'green business' is manufacturing the green products. To the extent, both of them are environmentally friendly. Green businesses do their part to conserve natural resources. A green business makes a conscious choice to use materials that are organic, recycled and biodegradable. To be truly green, the businesses has to operate on renewable sources of energy. Some people are motivated to conserve natural resources. Others simply prefer to use environmentally friendly products in their home. I believe it's good to reuse things, it's my way of being environmentally friendly. However, the obsession with green business puts me off. Though, I like green products, I don't go out of my way to buy them. I mean, I would definitely buy that product if is was more environmentally friendly. You know, many of the green products are in too much packaging. Now, I will be more concerned about the green food. The green food is healthier. I will sacrifice other things in my life so I can afford green food. All in all, the above is just my own opinion.",C1,Mandarin,EFCAMDAT,742347
"Being located in Paris, the center of Art and culture in the heart of Europe, our big and eclectic Museum is focussed on three different European styles of paintings, two of them have their origin in Paris: Impressionism, Expressionism and Cubism. In the impressionist wing of our museum you find besides other the significant representative of Impressionism a special exhibition of the works of Claude Monet (15.3.-31.5.2013), you will find ""The Road Bridge at Argenteuil"" among them , a sophisticated study of light and refections. The Expressionist wing portraits the works of the two groups of famous German painters: The Bridge and The blue Rider, the later one represented by a special exhibition with the paintings of Franz Marc (1.6.-30.-7.2013), - but you will find exhibits from Paul Klee and Wassily Kandinsky as well. Our Cubist Wing was inspired by Pablo Picasso and George Braque, with ""Le your"". Both artists were living in Paris. The geometrical forms they used sho multiple viewpoints of one figure. As highlight of the year a special Braque- exhibit will be shown from October 10 to December 21 this year",C1,German,EFCAMDAT,874574
"In Brazil we have some well-known e-commerce sites, some represents big national retail chains. . normally these sites are very well designed, and offer a large range of goods to buy. Since furniture, appliances, gadgets, clothing, shoes, fashion accessories There is another site of e-commerce widely known and used in Brazil, it's named Mercado Liver (Free Market), where anyone can sell your products, for this is necessary that the seller register yourself in the provider. After approval, the seller is allowed to offer their products, brand new or used, on the site. For every product sold, the seller pays a small fee to the site. The buyer has some different ways for payments, credit cards, bank slip, direct bank transfer, and other way, where the payment is made to an entity such as PayPal. The payment is only released to the seller after the goods are received, and buyer informed to the site that it's OK. The site has another good facility for the buyer: the sellers ranking. Which are shown how many products have been sold, and in percentage, how was the approval of buyers for each seller. The buyer can use this ranking for choosing the seller.%%",C1,Portuguese,EFCAMDAT,888091
"corporate social responsibility today is one of the most wide-spreaded streams among companies all over the world. It stands for good purposes: every prosperous company that take care of its image should make something for society. wounds good at least. But does it really works? Is it the best solution for companies to donate their money for charity for example. If we speak about shareholders, it can be even irrational to waste the money in such a way. actually it can be even worse for society. imagine that a company spend a lot of money on social projects. To cover the cost it increase the price of its own goods and finally become a bankrupt, because of large sum squandered. In this case the will be a lot of people damaged: workers, clients, even whole economic. What I want to say, speaking about CSR managers must think about the company's profit, they should invest in adjacent spheres: improve conditions of their workers, increase the local infrastructure... All these actions can finally lead to better quality of the products and that will be a win-win situation. Do not follow the trend and spend money on unprofitable projects, spend extra money wisely.%%",C1,Russian,EFCAMDAT,1026900
"describing whom I admire about traits and habits of a successful person in general terms are visionary, bold, and innovative, has good communications skills, and has empathy and respect human values. It seldom we find people that have visionary personality, they have vision about future and foresee what is necessary to supply it. I know who has this quality, he is very competent and he has goals. His act in scientific area developing products to be better human health, especially skin health. Now hes working with his team in the international respected and worthy company at south of the country, developing products based in human DNA achieving more efficient results. When he participate in the European international trade fair for cosmetics, if somebody need something does not exists until moment, and he using his skills catch what the costumers need. Coming back to Brazil, he immediately start develop the new product sought. Another traits like as good communications skills, and empathy and respect human values it is inherent to him.",C1,Portuguese,EFCAMDAT,1030023
"I think, there are several traits for these kind of people, all these traits are important, like discipline, hard work, intelligence, honesty and over all, they see the challenges like opportunities to take, and if we are speaking about academic way, they never let their goals without finish, in the business way, they take care in all details of their works programs and in their family way, they give a great value of the family relationship. Some time, we believe that the success it is linked with the economic capacity of the people, but this is not necessary, there are so many aspect to evaluate, just to say that some one is a success man, many time the success of any people is in their goals, the capacity they have to help others, the capacity to gain the admiration and love from other persons, because of philanthropy, charity or simply the way they treat to others.",C1,Spanish,EFCAMDAT,1125921
"The city where I live is full of buildings. Its a coastal city located in the south of Brazil. The city is well-known by its landscape and because of its buildings. The architecture is very modern and there are a lot of tall and beautiful buildings. The buildings structures are very attractive and always get the tourists attention. The buildings' designs have a lot of mirrors and unusual forms, like triangles and circles. One particular building that I always been fascinated is the Alexandria, located in the downtown of the city. The design and the image are amazing and its one of the highest buildings in the city. The old Brazilian architecture is not so attractive, if we compare with some building in China or in the U.S., but recently this area has been evolving a lot and our buildings are gaining identity and prestige due to its bold design and creativity.",C1,Portuguese,EFCAMDAT,1131651
"I'll tell you about two intriguing building and architecture in Japan. One is the Tokyo sky tree that is the tallest tower in Japan and located in the center of the capital city of Japan. It was built about two years ago, after that it has become one of the most popular sightseeing destinations for tourists both inside and outside of Japan. The height, which is almost 634m,attracts many people, so even now it seems to take long time to take the clever to go to the top of the tower. The other one is the Kyoto J station. It was renovated more than a decade ago from an old fashioned station to a very modernized designed one. First, people living Kyoto didn't like the newly designed station because they thought its newest design didn't match the atmosphere of old, quiet former capital of Kyoto. However, these days it's become popular and people have gotten used to its modern style. actually, when you visit Kyoto, you can enjoy both aspects of Kyoto now.",C1,Japanese,EFCAMDAT,1134991
